runnumber,dst_calo,dst_calofitting,dst_jet,dst_jetcalo
47289,6699709,6699709,314212,314212
47293,5084982,5084982,267276,267276
47306,5699998,5699998,197382,197382
47310,14593643,14593643,486898,486898
47313,9950017,9962893,324915,324915
47314,9608065,9624508,280255,280255
47315,6131036,6131036,209614,209614
47316,11022207,11022207,315007,315007
47333,4850000,4851510,172665,172665
47334,11464618,11464618,339590,339590
47352,28793304,28793304,932188,932188
47357,4699999,4702266,153501,153501
47360,27291836,27291836,835452,835452
47363,1600032,1635693,46522,46522
47376,20723343,20723343,815476,815476
47377,8031136,8031136,288561,288561
47378,39416841,39416841,1390581,1390581
47379,10224413,10224413,336841,336841
47380,1649998,1649998,53310,53310
47381,11449998,11449998,368748,368748
47382,7126878,7126878,224094,224094
47391,17657961,17657961,668476,668476
47393,4744650,4744650,175070,175070
47394,4449998,4449998,167060,167060
47395,16469762,16469762,592110,592110
47396,22122512,22122512,795165,795165
47440,16813922,16843681,670754,670754
47454,21187286,21192570,981733,981733
47457,18699998,18699998,665106,665106
47458,37556653,37556653,1336591,1336591
47459,3599998,3599998,128318,128318
47461,28450003,28455698,870500,870500
47463,16650013,16665197,483393,483393
47464,14215651,14215651,413525,413525
47474,11949998,11949998,539356,539356
47478,5200044,5238672,195960,195960
47480,14699997,14699997,463690,463690
47481,3449998,3449998,97308,97308
47482,2250000,2251844,64112,64112
47484,5535353,5535353,150551,150551
47485,6039633,6039633,153098,153098
47489,3350010,3365706,82197,82197
47491,38172531,38172531,839419,839419
47492,10999998,10999998,231669,231669
47494,3886444,3886444,80729,80729
47495,27451472,27451472,571617,571617
47497,3599998,3599998,75477,75477
47501,6601522,6659743,314077,314077
47502,30140653,30140653,1384948,1384948
47503,28364922,28364922,1080804,1080804
47506,37651119,37651119,1343095,1343095
47507,16283446,16283446,584771,584771
47509,14950795,14966778,489044,489044
47513,10391057,10391057,650435,650435
47514,11862374,11862374,616634,616634
47516,29218952,29218952,1454819,1454819
47517,16000022,16021743,565476,565476
47519,14229244,14233489,457727,457727
47521,11013202,11035687,329866,329866
47522,13305780,13305780,375895,375895
47524,28260169,28260169,784299,784299
47525,8865746,8865746,238285,238285
47540,34649998,34649998,1314162,1314162
47547,3189867,3189867,103490,103490
47549,19233635,19245617,613059,613059
47552,41050434,41050434,1331652,1331652
47557,21035629,21035629,1264108,1264108
47568,14400727,14400727,585732,585732
47582,17493979,17493979,1224675,1224675
47601,4450016,4465210,215591,215591
47628,4600024,4620234,194151,194151
47634,20745808,20745808,859589,859589
47635,19646647,19657925,776170,776170
47636,10374783,10374783,416175,416175
47637,11374832,11418983,456124,456124
47638,10182920,10182920,361906,361906
47650,5649413,5660072,388170,388170
47657,13199997,13199997,768379,768379
47658,30294885,30294885,1671900,1671900
47659,7184120,7184120,352213,352213
47661,18405080,18405080,883658,883658
47662,12285375,12285375,559589,559589
47664,8000031,8029009,356370,356370
47666,14213083,14213083,561287,561287
47667,16700117,16700118,650310,650310
47714,2180943,2204101,159102,159102
47715,5399998,5399998,293946,293946
47716,6368238,6368238,321832,321832
47719,5250005,5256191,262366,262366
47720,25764593,25764593,1209674,1209674
47722,20649998,20649998,913446,913446
47723,22675078,22675078,935971,935971
47724,26575217,26575217,1024864,1024864
47725,7647748,7647748,286283,286283
47726,37752964,37752964,1352518,1352518
47727,10468725,10468725,616779,616779
47730,5699997,5699997,190330,190330
47732,36082055,36082055,1190777,1190777
47733,37769019,37769019,1196959,1196959
47783,3329846,3329846,194940,194940
47791,15499472,15499472,995266,995266
47810,29485423,29485423,1371146,1371146
47824,18689983,18689983,799256,799256
47831,5138821,5138821,203484,203484
47834,1350015,1369430,51053,51053
47836,8716304,8716304,338059,338059
47852,4849998,4849998,180854,180854
47856,6550000,6552545,248253,248253
47869,6813830,6813830,252627,252627
47873,15149998,15149998,566625,566625
47889,10109410,10132475,616468,616468
47890,9074986,9074986,511227,511227
47892,11193419,11226043,606650,606650
47893,8925360,8925361,449726,449726
47940,1100012,1109347,89692,89692
47944,6445593,6445593,455267,455267
47946,7090316,7090316,322080,322080
47972,28487454,28487454,2322504,2322504
47975,9808971,9808971,528029,528029
47976,31820334,31820334,1484628,1484628
47977,8849998,8849998,406176,406176
47978,19682074,19682074,867558,867558
47979,23125478,23125478,952531,952531
47982,12231858,12231858,471438,471438
47999,13599998,13599998,739866,739866
48001,9649997,9649997,569172,569172
48002,32662677,32662677,1913375,1913375
48008,21211470,21211470,855108,855108
48011,30950002,30953145,1284421,1284421
48073,18849998,18849998,1004969,1004969
48079,4899998,4899998,179693,179693
48082,3749999,3752361,158895,158895
48084,9650059,9693223,449294,449294
48085,20999998,20999998,933712,933712
48086,16096550,16096550,689854,689854
48089,8100059,8152936,393170,393170
48097,6999997,6999998,324035,324035
48099,3299164,3356118,124914,124914
48166,1760819,1760819,1321,1321
48181,10377529,10377529,717471,717471
48185,4399997,4399997,304367,304367
48230,3323933,3323933,299673,299673
48233,15446534,15446534,1276446,1276446
48236,15339400,15339400,1124760,1124760
48237,15540141,15540141,1095450,1095450
48239,11611662,11611662,773453,773453
48240,14510310,14510310,960150,960150
48244,3407101,3407101,2143,2143
48245,4882092,4882092,305170,305170
