runnumber,dst_calo,dst_calofitting,dst_jetcalo,DST_Jet
47289,6720550.0,6720550.0,369277.0,369277.0
47293,5084980.0,5084980.0,305857.0,305857.0
47306,5719290.0,5719290.0,225834.0,225834.0
47310,14632660.0,14632660.0,548369.0,548369.0
47313,30726420.0,30726420.0,1128304.0,1128304.0
47314,21506795.0,21506795.0,702195.0,702195.0
47315,6131039.0,6131039.0,235355.0,235355.0
47316,12822210.0,12822210.0,409988.0,409988.0
47333,5624678.0,5624678.0,228592.0,228592.0
47334,11549860.0,11549860.0,384950.0,384950.0
47352,28861669.0,28861669.0,1052505.0,1052505.0
47357,6904946.0,6904946.0,253322.0,253322.0
47360,27332300.0,27332300.0,937812.0,937812.0
47363,39632700.0,39632700.0,1291413.0,1291413.0
47376,20736110.0,20736110.0,924344.0,924344.0
47377,8039350.0,8039350.0,324715.0,324715.0
47378,39620110.0,39620110.0,1558770.0,1558770.0
47379,10224416.0,10224416.0,373834.0,373834.0
47380,3928609.0,3928609.0,140783.0,140783.0
47381,11545390.0,11545390.0,412127.0,412127.0
47382,7126980.0,7126980.0,248276.0,248276.0
47391,17657960.0,17657960.0,768139.0,768139.0
47393,4778877.0,4778877.0,203511.0,203511.0
47394,4484720.0,4484720.0,190560.0,190560.0
47395,16593637.0,16593637.0,673780.0,673780.0
47396,22163668.0,22163668.0,898203.0,898203.0
47440,40026579.0,40026579.0,1789872.0,1789872.0
47454,25471945.0,25471945.0,1405611.0,1405611.0
47457,18796949.0,18796949.0,766784.0,766784.0
47458,38021740.0,38021740.0,1533885.0,1533885.0
47459,3624779.0,3624779.0,144898.0,144898.0
47461,40554813.0,40554813.0,1385383.0,1385383.0
47463,36542474.0,36542474.0,1182198.0,1182198.0
47464,15272340.0,15272340.0,494620.0,494620.0
47474,13365619.0,13365619.0,782337.0,782337.0
47478,37524828.0,37524828.0,1739631.0,1739631.0
47480,15404570.0,15404570.0,595200.0,595200.0
47481,3921170.0,3921170.0,137756.0,137756.0
47482,6519010.0,6519010.0,225904.0,225904.0
47484,5935350.0,5935350.0,196279.0,196279.0
