run,trig10,trig12
51274,721,2754
51277,128,450
51279,91,1506
51282,268,641
51283,128,350
51281,84,1498
51285,74,227
51300,157,183
51297,171,316
51301,159,260
51335,230,281
51337,261,1369
51374,165,552
51370,123,573
51487,915,4098
51491,318,1328
51493,683,3035
51489,0,0
51492,56,205
51490,116,550
51494,995,4265
51495,483,2175
51506,134,438
51502,210,753
51509,394,1742
51510,554,2325
51504,211,1097
51517,174,226
51511,603,2433
51508,570,2475
51570,305,360
51565,89,1272
51573,235,4032
51575,81,1809
51572,55,685
51562,75,368
51574,262,4096
51518,335,461
51520,148,3557
51576,39,1048
51710,52,2826
51607,22,690
51605,27,175
51709,101,3621
51715,14,2480
51619,12,4815
51721,0,7130
51713,9,1708
51711,105,7925
51718,15,2377
51716,14,2412
51725,0,6410
51735,51,2275
51768,58,5375
51740,21,3128
51777,46,3659
51742,19,4295
51827,154,12003
51824,67,1493
51736,52,4409
51830,112,16782
51837,156,8095
51839,98,9479
51843,18,2300
51841,8,1201
51874,62,6484
51886,27,3456
51881,103,14062
51858,73,15266
51900,99,18742
51901,9,1704
51907,50,5237
51905,108,4171
51909,78,7571
51902,43,7750
51908,80,8996
51914,24,2479
51915,131,10256
51922,51,6660
51854,33,3968
51924,59,9854
51927,120,16393
51928,133,19256
51934,11,569
51933,27,1315
51940,29,1214
51946,48,7783
51945,65,6564
51949,72,6265
51952,21,2855
51953,15,1060
51958,10,1451
51978,18,1556
51985,128,18472
51977,20,2353
51982,22,960
51954,98,19291
51986,17,4895
51987,50,7194
51990,26,7188
51999,11,773
51997,18,1654
52015,111,12637
51998,74,3965
52030,100,6355
52022,83,14830
52005,23,4135
52035,12,4067
52026,70,4346
52018,104,13747
52032,39,3203
52036,6,1836
52046,421,7148
52037,144,19464
52044,16,780
52047,664,13116
52048,631,15897
52052,133,5350
52049,605,16980
52060,371,2751
52062,161,1846
52077,676,18834
52067,807,4641
52068,153,1343
52069,482,4357
52078,307,10975
52107,575,15960
52101,131,1422
52102,335,4957
52108,306,8894
52103,174,2723
52099,178,1656
52145,173,4177
52110,68,1850
52146,281,7098
52266,204,3326
52111,657,20804
52097,1786,0
52265,205,2505
52112,64,1646
52270,668,18714
52269,673,14019
52271,620,18413
52278,152,5240
52291,136,4616
52288,540,14114
52286,826,14562
52290,67,1414
52289,159,4391
52294,39,2050
52308,77,1392
52296,47,2450
52292,279,9044
52302,197,2362
52303,45,877
52304,105,2459
52318,152,6033
52314,231,7117
52323,566,25927
52309,95,2938
52325,421,19504
52324,156,5861
52326,478,20811
52327,63,3430
52343,105,2483
52349,587,26314
52347,53,3050
52346,654,20625
52360,449,22151
52348,325,15971
52357,60,2680
52359,212,9762
52361,672,30917
52369,148,5081
52367,91,2746
52393,192,6442
52414,75,1992
52394,383,14157
52432,56,1649
52424,50,3417
52518,599,7176
52519,693,11017
52520,166,1768
52521,432,7385
52449,67,2374
52538,63,1003
52522,394,8110
52539,560,13464
52558,315,2701
52444,63,2404
52463,672,23653
52540,495,12272
52575,522,11779
52447,43,728
52576,288,8034
52462,383,11640
52579,487,11580
52495,376,9437
52482,346,8014
52472,29,1281
52580,265,6588
52584,90,363
52592,224,4484
52585,105,687
52593,459,8953
52594,685,14748
52595,104,2604
52596,229,5463
52611,226,2855
52614,268,4284
52617,713,13518
52615,110,1870
52623,700,7857
52624,484,10267
52625,383,10760
52626,364,13916
52638,334,4466
52653,313,6392
52651,321,4950
52649,748,8846
52660,220,5057
52661,605,15568
52690,299,7507
52682,43,1350
52704,49,1009
52692,330,7280
52718,60,983
52755,471,12880
52721,607,11608
52811,14,370
52815,623,15356
52846,60,650
52887,718,7917
52888,722,11310
53046,253,3404
53049,110,2460
53284,0,4295
53287,68,1389
53293,625,24744
53312,367,15342
53370,678,25709
53376,415,14335
53407,649,25605
53452,469,19378
53468,519,22065
53744,539,21220
53742,45,1823
53753,260,6636
53761,393,18171
53754,403,11508
53768,283,4621
53769,665,13231
53772,641,20066
53780,707,10517
53782,568,14419
53793,158,5435
53794,507,20212
53812,643,12097
53817,76,2435
53818,577,18738
53820,104,3353
53822,76,2475
53828,630,13513
53830,618,15562
53834,658,21195
53833,46,2015
53836,294,10685
53852,306,6672
53856,184,4477
53860,705,19952
53861,372,12076
53862,611,22225
