runnumber,scaledown00,scaledown01,scaledown02,scaledown03,scaledown04,scaledown05,scaledown06,scaledown07,scaledown08,scaledown09,scaledown10,scaledown11,scaledown12,scaledown13,scaledown14,scaledown15,scaledown16,scaledown17,scaledown18,scaledown19,scaledown20,scaledown21,scaledown22,scaledown23,scaledown24,scaledown25,scaledown26,scaledown27,scaledown28,scaledown29,scaledown30,scaledown31,scaledown32,scaledown33,scaledown34,scaledown35,scaledown36,scaledown37,scaledown38,scaledown39,scaledown40,scaledown41,scaledown42,scaledown43,scaledown44,scaledown45,scaledown46,scaledown47,scaledown48,scaledown49,scaledown50,scaledown51,scaledown52,scaledown53,scaledown54,scaledown55,scaledown56,scaledown57,scaledown58,scaledown59,scaledown60,scaledown61,scaledown62,scaledown63
51274,93831,-1,-1,19,-1,-1,-1,-1,-1,-1,584,-1,86,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,2,0,0,-1,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51277,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,860,1000,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51279,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,860,200,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,3,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51281,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,860,200,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,3,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51282,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,-1,800,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,3,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51283,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,-1,800,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,3,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51285,93831,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,-1,400,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51297,93810,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,-1,2000,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51300,93810,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,-1,2000,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51301,93810,-1,-1,-1,-1,-1,-1,-1,-1,-1,5840,-1,2000,-1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
