runnumber,scaledown00,scaledown01,scaledown02,scaledown03,scaledown04,scaledown05,scaledown06,scaledown07,scaledown08,scaledown09,scaledown10,scaledown11,scaledown12,scaledown13,scaledown14,scaledown15,scaledown16,scaledown17,scaledown18,scaledown19,scaledown20,scaledown21,scaledown22,scaledown23,scaledown24,scaledown25,scaledown26,scaledown27,scaledown28,scaledown29,scaledown30,scaledown31,scaledown32,scaledown33,scaledown34,scaledown35,scaledown36,scaledown37,scaledown38,scaledown39,scaledown40,scaledown41,scaledown42,scaledown43,scaledown44,scaledown45,scaledown46,scaledown47,scaledown48,scaledown49,scaledown50,scaledown51,scaledown52,scaledown53,scaledown54,scaledown55,scaledown56,scaledown57,scaledown58,scaledown59,scaledown60,scaledown61,scaledown62,scaledown63
47289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,417,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,417,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,417,-1,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47306,-1,-1,-1,79,-1,-1,-1,-1,-1,-1,362,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47310,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,349,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47313,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,316,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47314,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,295,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47315,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47316,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47333,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,326,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47334,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,326,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47352,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47357,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47360,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,114,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47363,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,103,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47376,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,188,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47377,93831,-1,-1,31,-1,-1,-1,-1,-1,-1,163,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47378,93831,-1,-1,29,-1,-1,-1,-1,-1,-1,153,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47379,93831,-1,-1,27,-1,-1,-1,-1,-1,-1,131,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47380,93831,-1,-1,26,-1,-1,-1,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
